UpdatedAt,Country,CountryCode,State,StateCode,City,CityID,Latitude,Longitude,WeatherCondition,WeatherDescription,WeatherCode,Temperature,FeelsLike,TempMin,TempMax,Pressure,Humidity,SeaLevel,GroundLevel,WindSpeed,WindDirection,WindGust,CloudCoverage,Visibility,AQI,CO,NO,NO2,O3,SO2,PM25,PM10,NH3,CreatedAt,Source,Date,AQI_Category
2025-01-01 12:00:00,India,IN,Gujarat,GJ,Ahmedabad,1279233,23.0225,72.5714,Clear,clear sky,800,13.53,14.13,13,29,998,37,1007,1008,3.92,89,6.04,15,9926,172,1214.49,5.85,17.7,37.25,9.68,77.4,111.46,3.83,2025-01-01 12:00:00,OpenWeather,2025-01-01,Moderate
2025-01-02 12:00:00,India,IN,Gujarat,GJ,Ahmedabad,1279233,23.0225,72.5714,Clear,clear sky,800,13.52,12.4,13,29,1011,41,1002,1005,2.43,1,7.56,2,6073,80,1106.31,14.94,19.87,33.26,28.91,39.2,56.06,14.72,2025-01-02 12:00:00,OpenWeather,2025-01-02,Satisfactory
2025-01-03 12:00:00,India,IN,Gujarat,GJ,Ahmedabad,1279233,23.0225,72.5714,Clear,clear sky,800,14.82,15.19,13,29,999,53,1011,1005,2.41,234,10.41,2,6337,175,943.59,1.54,7.44,20.31,15.33,96.25,115.5,3.13,2025-01-03 12:00:00,OpenWeather,2025-01-03,Moderate
2025-01-04 12:00:00,India,IN,Gujarat,GJ,Ahmedabad,1279233,23.0225,72.5714,Clear,clear sky,800,22.58,22.52,13,29,1018,49,1002,1000,6.23,356,6.37,15,5080,90,311.04,14.1,32.39,19.23,15.71,37.8,54.05,8.77,2025-01-04 12:00:00,OpenWeather,2025-01-04,Satisfactory
2025-01-05 12:00:00,India,IN,Gujarat,GJ,Ahmedabad,1279233,23.0225,72.5714,Clear,clear sky,800,22.86,22.64,13,29,1021,40,1014,1008,1.78,267,1.87,11,9688,122,408.5,6.23,44.3,25.05,4.77,62.22,89.6,6.8,2025-01-05 12:00:00,OpenWeather,2025-01-05,Moderate
2025-01-06 12:00:00,India,IN,Gujarat,GJ,Ahmedabad,1279233,23.0225,72.5714,Clear,clear sky,800,24.68,24.77,13,29,999,52,1003,1013,4.73,66,5.34,3,4373,81,1087.87,16.75,17.17,73.82,7.46,42.93,63.11,14.77,2025-01-06 12:00:00,OpenWeather,2025-01-06,Satisfactory
2025-01-07 12:00:00,India,IN,Gujarat,GJ,Ahmedabad,1279233,23.0225,72.5714,Clear,clear sky,800,18.41,17.22,13,29,1025,43,1013,1010,5.53,270,6.97,14,4257,130,1450.2,13.85,30.42,51.0,17.8,53.3,69.29,1.75,2025-01-07 12:00:00,OpenWeather,2025-01-07,Moderate
2025-01-08 12:00:00,India,IN,Gujarat,GJ,Ahmedabad,1279233,23.0225,72.5714,Clear,clear sky,800,14.44,15.0,13,29,996,52,1007,991,5.79,255,2.71,6,4956,141,358.29,1.11,42.9,54.6,2.08,59.22,78.76,10.44,2025-01-08 12:00:00,OpenWeather,2025-01-08,Moderate
2025-01-09 12:00:00,India,IN,Gujarat,GJ,Ahmedabad,1279233,23.0225,72.5714,Clear,clear sky,800,27.06,26.9,13,29,1025,39,1006,1014,0.77,172,10.18,6,5966,122,1265.09,18.08,55.58,11.6,17.82,52.46,70.3,3.99,2025-01-09 12:00:00,OpenWeather,2025-01-09,Moderate
2025-01-10 12:00:00,India,IN,Gujarat,GJ,Ahmedabad,1279233,23.0225,72.5714,Clear,clear sky,800,22.47,20.87,13,29,1008,53,1020,1003,6.4,8,2.91,13,9014,87,1141.16,14.96,57.35,78.51,19.94,46.11,68.24,5.98,2025-01-10 12:00:00,OpenWeather,2025-01-10,Satisfactory
2025-01-11 12:00:00,India,IN,Gujarat,GJ,Ahmedabad,1279233,23.0225,72.5714,Clear,clear sky,800,17.38,15.47,13,29,1013,55,1001,1000,5.18,211,2.77,13,6799,180,1495.72,1.12,43.61,71.92,23.9,86.4,112.32,11.83,2025-01-11 12:00:00,OpenWeather,2025-01-11,Moderate
2025-01-12 12:00:00,India,IN,Gujarat,GJ,Ahmedabad,1279233,23.0225,72.5714,Clear,clear sky,800,26.4,25.51,13,29,1010,37,1018,1010,3.74,210,11.42,8,9781,167,656.38,0.58,19.3,38.9,14.09,70.14,110.82,1.42,2025-01-12 12:00:00,OpenWeather,2025-01-12,Moderate
2025-01-13 12:00:00,India,IN,Gujarat,GJ,Ahmedabad,1279233,23.0225,72.5714,Clear,clear sky,800,27.18,29.06,13,29,1013,59,1019,1013,6.71,134,3.15,7,7976,75,824.61,4.75,58.8,29.33,12.59,39.75,49.69,13.19,2025-01-13 12:00:00,OpenWeather,2025-01-13,Satisfactory
2025-01-14 12:00:00,India,IN,Gujarat,GJ,Ahmedabad,1279233,23.0225,72.5714,Clear,clear sky,800,19.87,19.28,13,29,1025,37,1003,1014,2.76,345,5.28,10,5811,169,755.94,4.82,49.66,44.81,21.28,87.88,136.21,1.15,2025-01-14 12:00:00,OpenWeather,2025-01-14,Moderate
